Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1834,2,9,1,,,4,1,6.4,0,43.3,141.4,,1,2,1,,,,,,1,73,,JAPAN,W. HOKKAIDO ISLAND
1834,3,14,,,,1,1,7,0,16.8,-99.9,,1,1,0,,,,,,1,,,MEXICO,S. MEXICO
1835,2,20,16,22,,4,1,8.2,1,-36.83,-73.03,24,22,4,3,53,30,1,500,,4,,,CHILE,CENTRAL CHILE
1835,7,12,,,,2,0,,0,,,,1,,2,,,,,,,,,GREECE,IONIAN ISLANDS
1835,7,20,,,,4,1,7.6,0,37.9,141.9,5,4,2.3,2,,,,,,3,,,JAPAN,SANRIKU
1835,8,19,,,,-1,1,,0,,,,2,2,2,,,,,,,,,JAPAN,"MIYAGI, JAPAN"
1836,1,21,,,,1,0,,0,-43.3,148.9,,0,,,,,,,,,,,AUSTRALIA,TASMANIA
1836,3,5,,,,2,1,,0,-8.3,118.7,,1,,0.5,,,,,,,,,INDONESIA,FLORES SEA
1836,4,24,16,15,,3,1,,0,39.6,16.6,,3,,4,589,,,,,,,,ITALY,ROSSANO
1836,7,3,,,,2,1,7.5,0,-22.6,-70.3,,2,1,1,,,,,,,,,CHILE,NORTHERN CHILE
1836,9,5,,,,-1,1,5.9,0,37.7,142,,1,1,1,,,,,,,,,JAPAN,SANRIKU
1836,11,28,,,,2,1,7.5,0,-8.3,118.7,,1,,0.5,,,,,,1,,,INDONESIA,FLORES SEA
1837,1,1,1,,,3,1,,0,33,35.5,,0,,4,,,,,,,,,ISRAEL,ISRAEL and SYRIAN COASTS
1837,8,1,,,,1,0,,0,51.44,3.57,,0,,,,,,,,,,,NETHERLANDS,VLISSINGEN
1837,8,2,,,,-1,9,,0,,,,1,,,,,,,,,,,USA TERRITORY,VIRGIN ISLANDS
1837,8,9,,,,2,1,6.5,0,16.86,-99.88,,1,,0,,,,,,,,,MEXICO,ACAPULCO
1837,9,29,,,,2,1,7.3,0,5.5,96,,3,,0.5,,,,,,2,,,INDONESIA,BANDA ACEH
1837,10,18,,,,2,1,7,0,19.45,-99.15,,1,,0,,,,,,,,,MEXICO,MEXICO CITY
1837,10,,,,,2,0,,0,7.5,146.5,,3,,,,,,,,2,,,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS
1837,11,7,12,51,,4,1,8.5,1,-42.5,-74,6,17,3,3,16,,,,,3,,,CHILE,SOUTHERN CHILE
1838,5,7,,,,2,1,,0,-36.7,-73.1,0.8,1,,,,,,,,,,,CHILE,CENTRAL CHILE
1838,8,10,20,30,,2,1,,0,45.3,14.5,,1,,3,,,,,,,,,CROATIA,RIJEKA
1839,2,12,,,,1,4,,0,-33.62,-76.83,,0,,,,,,,,,,,CHILE,CENTRAL CHILE
1839,3,,,,,1,1,,0,,,,1,,,,,,,,,,,USA,HAWAII
1839,5,1,,,,1,1,7.3,0,42.5,145,,1,1,1,,,,,,,,,JAPAN,SE. HOKKAIDO ISLAND
1839,,,,,,3,0,,0,-46.627,169.126,,1,,,,,,,,,,,NEW ZEALAND,"WAIKAWA, SOUTHLAND"
1840,1,4,,,,2,1,7,0,-8,110.5,,1,,0,,,,,,3,,,INDONESIA,JAVA
1840,1,16,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,S. CALIFORNIA
1840,1,28,8,,,1,1,,0,-12.3,-77.3,,1,,0,,,,,,,,,PERU,CENTRAL PERU
1840,2,14,,,,2,1,,0,0.8,127.325,,1,,0.5,,,,,,2,500,,INDONESIA,N. MOLUCCAS ISLANDS
1840,3,22,,,,1,1,6.5,0,12.9,123.9,,1,1,1,52,,,200,,3,,,PHILIPPINES,PHILIPPINE SEA
1840,7,28,,,,0,1,,0,-36.836,175.692,,1,,,,,,,,,,,NEW ZEALAND,WHITIANGA
1840,8,,,,,2,0,,0,-37.61,178.35,1,2,,,,,,,,,,,NEW ZEALAND,EAST CAPE
1840,11,11,,,,0,1,5.2,0,39.8,-75.2,,1,,,,,,,,,,,USA,"PHILADELPHIA, PENNSYLVANIA"
1840,,,,,,-1,1,,0,,,,1,,,,,,,,,,,USA,HAWAII
1841,5,17,21,30,,4,1,8.4,1,52,158,15,7,3.9,3,,,,,,2,,,RUSSIA,KAMCHATKA
1841,11,26,,,,3,1,,0,-5,130,3,1,1.5,1.5,,,,,,,,,INDONESIA,MOLUCCAS ISLANDS
1841,12,16,,,,3,1,6,0,-4,127.5,1.5,4,1,1.5,,,,,,2,,,INDONESIA,BANDA SEA
