Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1892,8,,,,,2,0,,0,-15.25,166.83,,1,,1.5,,,,,,,,,VANUATU,ESPIRITU SANTO ISLAND
1892,11,15,11,20,,1,1,,0,40.54,13,,0,,,,,,,,,,,ITALY,TYRRHENIAN SEA
1892,11,18,,,,3,1,7,0,-3,127.75,,1,,-1,,,,,,,,,INDONESIA,SERAM ISLAND
1892,12,9,,,,4,1,6.5,0,37,136.8,,2,,0,1,,,,,,2,,JAPAN,SW. HONSHU ISLAND
1893,1,28,,,,1,0,,0,,,,0,,,,,,,,,,,GREECE,SAMOTHRACE
1893,2,9,,,,4,1,6.5,0,40.5,25.5,1,2,,3,1,,,,,2,,,GREECE,SAMOTHRACE
1893,2,19,,,,2,1,,0,17.97,-76.8,,1,,,,,,,,,,,JAMAICA,KINGSTON
1893,4,17,5,6,,3,1,6.4,0,37.7,20.9,,0,,,,,,,,,,,GREECE,IONIAN SEA
1893,6,4,2,27,0,4,1,7,0,43.3,147.5,3,3,1.6,1.5,,,,,,,,,RUSSIA,S. KURIL ISLANDS
1893,6,13,,,,4,1,6.9,0,42.5,145.5,,1,,1,,,,,,,,,JAPAN,"NEMURO, JAPAN"
1893,6,14,,,,2,1,7.5,0,40.2,19.7,,0,,3,,,,,,3,,,ALBANIA,ALBANIAN COASTS
1893,6,21,6,50,,0,1,,0,6.9,125.8,,1,,,,,,,,2,,,PHILIPPINES,AGUSAN RIVER
1893,7,31,,,,1,1,6,0,-17.75,168.3,,1,,0,,,,,,,,,VANUATU,"PORT VILA, EFATE ISLAND"
1893,8,27,,,,2,0,,0,-17.75,168.3,,1,,0,,,,,,,,,VANUATU,"PORT VILA, EFATE ISLAND"
1894,3,22,10,23,,4,1,7.9,0,42.5,146,4,20,2,1.5,1,,,6,,2,,99,JAPAN,SE. HOKKAIDO ISLAND
1894,4,27,19,21,,4,3,7,1,38.7,23.1,3,2,1.6,4,,,,,,,,,GREECE,NORTH EVOIKOS GULF
1894,5,10,,,,2,0,,0,25.4,-108.95,6,2,,,,,,,,,,,MEXICO,OFF WEST COAST
1894,7,10,12,33,,4,1,6.7,0,40.6,28.7,4.5,3,,3,,,,,,3,,,TURKEY,MARMARA SEA
1894,10,22,8,35,,4,1,7,0,38.9,139.8,,0,-1,-1,726,,,,,,3858,,JAPAN,"YAMAGATA, JAPAN"
1894,11,16,18,52,,2,1,,0,38.3,15.9,,0,,,101,,,,,3,,,ITALY,CALABRIAN ARC
1894,11,21,,,,2,0,,0,49,-34.5,12.2,1,3.6,,,,,,,,,,ATLANTIC OCEAN,ATLANTIC OCEAN
1894,11,28,,,,3,8,,0,47.286,-122.445,3,1,,,2,,,,,1,,,USA,"PUYALLUP RIVER DELTA, TACOMA, WA"
1894,,,,,,2,0,,0,,,1,1,,3,,,,,,1,,,TUNISIA,BALEARIC SEA
1895,1,28,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,HAWAII
1895,3,6,8,35,,4,1,7.3,0,-8.4,150.1,6,6,2.6,2,,,,,,2,,,PAPUA NEW GUINEA,SOLOMON SEA
1895,3,9,,,,2,8,,0,,,,1,,,,,,,,,,,USA,S. CALIFORNIA
1895,5,25,,,,1,1,,0,33,130,,1,,0.5,,,,,,,,,JAPAN,W. KYUSHU ISLAND
1895,5,31,,,,4,1,,0,-18,-71,,17,,,,,,,,1,,,CHILE,NORTHERN CHILE
1895,7,8,21,30,,2,1,8.2,0,39.5,53.7,,1,,,,,,,,3,,,TURKMENISTAN,CASPIAN SEA
1895,7,9,5,30,,4,8,,0,-43.688,172.9,5,0,,,,,,,,,,,NEW ZEALAND,PIEGON BAY
1895,7,,,,,1,8,,0,,,,1,,,,,,,,,,,USA,S. CALIFORNIA
1895,8,18,6,57,,4,3,6,0,-38.8,176,,1,,,,,,,,,,,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND"
1895,9,1,11,9,,3,1,4.3,0,40.667,-74.883,,1,,,,,,,,,,,USA,"HIGH BRIDGE, NJ"
1895,10,14,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1895,10,31,11,8,,0,1,6.7,0,37,-89.4,,1,,,,,,,,,,,USA,"CHARLESTON, MO"
1895,11,1,,,,1,1,,0,41.7,12.2,,0,,3,,,,,,,,,ITALY,TYRRHENIAN SEA
1896,1,9,,,,4,1,7.6,0,36.5,141,0.25,6,,-2.5,,,,,,,,,JAPAN,"KASHIMA, JAPAN"
1896,2,16,18,0,,2,1,,0,17.6,-76.7,,1,,,,,,,,2,,,JAMAICA,KINGSTON
1896,6,15,10,33,,4,1,8.3,4,39.5,144,38.2,72,5.2,3.8,27122,,,13247,,4,11000,,JAPAN,SANRIKU
1896,10,10,,,,2,1,6.8,0,-3.5,102.5,,1,,0,,,,,,1,,,INDONESIA,SW. SUMATRA
1896,10,16,6,15,,1,1,,0,43.7,8.1,,0,,2,,,,,,,,,ITALY,LIGURIAN SEA
1896,11,5,2,50,,3,1,,0,,,,0,,,,,,,,,,,GREECE,IONIAN SEA
1896,12,17,,,,-1,9,,0,,,2.5,1,1.3,1.5,,,,,,,,,USA,"SANTA BARBARA, CA"
1896,,,,,,4,1,,0,,,,0,,,,,,,,,,,ICELAND,ICELAND
1897,2,19,20,50,,4,1,7.4,0,38.1,141.9,1,2,,,,,,,,2,,,JAPAN,SANRIKU
1897,3,15,,,,2,1,5.5,0,-6.8,120.8,,1,,1,,,,,,,,,INDONESIA,FLORES SEA
1897,3,26,,,,3,6,,0,-10.38,165.8,,1,,,,,,,,1,,,SOLOMON ISLANDS,"TINAKULA, SANTA CRUZ ISLANDS"
1897,4,17,,,,2,8,,0,,,,1,,,,,,,,1,,,USA,"GULF OF ALASKA, AK"
1897,4,29,,,,1,0,,0,-43.6,172.8,,1,,,,,,,,,,,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND
1897,6,12,11,6,,0,1,8.7,0,26,91,,1,,,1542,,,,,4,,,INDIA,ASSAM
1897,6,20,,,,2,1,7,0,16,-95,,0,,,,,,,,2,,,MEXICO,S. MEXICO
1897,8,5,0,10,0,4,1,7.7,0,38,143.7,3.6,37,1.5,1,,,,,,1,,,JAPAN,SANRIKU
1897,9,20,19,6,,1,1,8.6,0,6,122,2,1,,1,,,,,,1,,,PHILIPPINES,SULU SEA
1897,9,21,5,12,,4,1,8.7,0,6,122,7,13,2.6,2.5,13,,,14,,3,,,PHILIPPINES,SULU SEA
1897,9,21,7,14,,1,1,,0,-41.3,174.8,1,1,,,,,,,,,,,NEW ZEALAND,WELLINGTON
1897,10,18,23,48,,3,1,8.1,0,12,126,,2,,1.5,,,,,,2,17,,PHILIPPINES,SAMAR ISLAND
1897,12,29,10,32,,1,1,,0,18.5,-69.95,,0,,,,,,,,2,,,DOMINICAN REPUBLIC,SANTO DOMINGO
1897,12,,,,,1,1,,0,,,,0,,,,,,,,,,,GREECE,IONIAN ISLANDS
1897,,,,,,1,1,,0,16.72,-62.18,,0,,,,,,,,,,,MONTSERRAT,SOUFRIERE HILLS VOLCANO
1898,3,31,7,43,,1,9,6.2,0,38.2,-122.4,0.31,1,2,2,,,,,,,,,USA,"OAKLAND, N. CALIFORNIA"
1898,4,22,23,37,,4,1,7.2,0,38.6,142,0.1,2,,-3,,,,2,,3,,,JAPAN,HONSHU ISLAND
1898,6,2,21,40,,3,1,7,0,37.6,22.5,,0,,,,,,,,,,,GREECE,"PELOPONNESUS, GREECE"
1898,7,23,2,17,,1,1,6.5,0,-36.83,-73.03,,1,,,6,,,,,2,,,CHILE,CENTRAL CHILE
1898,12,3,5,50,,2,1,,0,37.75,21,,1,,3,,,,,,1,,,GREECE,IONIAN ISLANDS
1899,1,15,,,,3,1,,0,-3,152,,13,,1.5,,,,,,2,,,PAPUA NEW GUINEA,"EAST COAST, NEW IRELAND"
1899,1,22,7,56,,2,1,6.6,0,37.2,21.6,1,2,,3,,,,,,,,,GREECE,IONIAN SEA
1899,1,29,,,,1,1,,0,-12.4,130.7,1.8,1,,,,,,,,,,,AUSTRALIA,NORTHERN AUSTRALIA
1899,2,3,,,,1,0,,0,38.64,-28.03,10,1,,,1,,,,,2,,,PORTUGAL,AZORES
1899,8,8,,,,1,0,,0,-33,-71.5,,1,,,,,,,,3,,,CHILE,CENTRAL CHILE
1899,9,4,0,22,,4,1,8.2,1,60,-142,3.1,4,,0,,,,,,1,,,USA,"CAPE YAKATAGA, AK"
1899,9,10,21,41,,4,3,8.2,0,60,-140,60.96,12,5.9,3,,,,,,3,,,USA,"YAKUTAT BAY, AK"
1899,9,29,17,3,,4,3,7.8,0,-3,128.5,12,10,3.6,3,2460,,,300,,3,,,INDONESIA,BANDA SEA
1899,10,7,,,,2,0,,0,35.1,138.75,,1,,1,,,,,,,,,JAPAN,TAGONOURA
1899,10,19,9,16,,2,1,,0,-5,148,,2,,1.5,,,,,,2,,,PAPUA NEW GUINEA,BISMARCK SEA
1899,11,24,18,43,,4,1,7.1,0,31.9,132,0.3,1,-1.7,-1,,,,,,1,,,JAPAN,SEIKAIDO
1899,11,25,18,55,,4,1,6.9,0,32.7,132.3,,1,-1,-2,,,,,,,,,JAPAN,SEIKAIDO
1899,12,25,12,25,,1,9,6.4,0,33.8,-118.5,,1,,0.5,,,,,,,,,USA,S. CALIFORNIA
1899,,,,,,3,0,,0,19,106,3,1,,,,,,,,1,,,VIETNAM,NORTH CENTRAL VIETNAM
1900,1,10,,,,1,1,,0,1.82,127.85,,1,,0,,,,,,,,,INDONESIA,"GALELA, HALMAHERA ISLAND"
1900,8,11,4,40,,4,3,,0,58.6,-137.5,,1,,,5,,,,,1,,,USA,"LITUYA BAY, AK"
1900,9,10,21,30,,4,1,6.8,0,-4,152,,3,,,,,,,,1,,,PAPUA NEW GUINEA,BISMARCK SEA
1900,9,17,21,45,,3,1,7.1,0,-5,148,3,1,,1.5,,,,,,,,,PAPUA NEW GUINEA,RABAUL HARBOR
1900,10,7,21,4,,3,1,6.9,0,-4,140,,4,1,1.5,5,,,,,1,1,,INDONESIA,BISMARCK SEA
1900,10,29,9,11,,3,1,7.7,0,11,-66,10,5,,,25,,,,,3,,,VENEZUELA,MANCUTO
1901,3,3,7,45,,3,3,6.7,0,36,-120.5,,1,,,,,,,,,,,USA,"MONTEREY BAY, N. CALIFORNIA"
1901,3,31,7,12,,3,1,7.2,0,43.4,28.5,3,1,,4,4,,,50,,3,1200,,BULGARIA,BLACK SEA
1901,6,15,,,,4,1,6,0,39,143,,0,,,,,,,,,,,JAPAN,"IWATE, JAPAN"
1901,6,24,,,,4,1,7.5,0,28,130.3,0.25,4,-2.3,-1.5,,,,,,1,,,JAPAN,RYUKYU ISLANDS
1901,8,9,9,23,30,4,1,7.2,0,40.5,142.5,0.6,3,0,-0.5,,,,,,2,,,JAPAN,OFF NORTHEAST COAST HONSHU
1901,8,9,13,1,,4,1,7.9,0,-22,170,1.2,10,-0.7,,,,,,,2,,,NEW CALEDONIA,LOYALTY ISLANDS
1901,8,9,18,33,45,4,1,7.4,0,40.6,142.3,0.25,2,-1,-1,18,,,,,2,8,,JAPAN,OFF NORTHEAST COAST HONSHU
1901,8,9,20,0,,4,1,6.3,0,40.5,142.5,0.02,1,-1,,,,,,,,,,JAPAN,OFF NORTHEAST COAST HONSHU
1901,9,10,0,30,,2,1,7,0,14,121.6,,1,,0,,,,,,2,,,PHILIPPINES,E. LUZON ISLAND
1901,10,8,2,16,,3,1,7,0,11,-86.5,1.5,1,,,,,,,,1,,,NICARAGUA,NICARAGUA
1901,12,31,9,2,30,1,1,7.1,0,51.45,-171.02,,1,,,,,,,,,,,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK"
1902,1,18,23,23,,1,2,6.3,0,14.71,-91.59,,0,,,,,,,,1,,,GUATEMALA,OCOSA
1902,2,26,,,,3,1,7,0,13.5,-89.5,,4,2.3,2,185,,,100,,3,,,EL SALVADOR,EL SALVADOR-GUATEMALA
1902,4,19,2,23,30,0,1,7.5,0,14,-91,,0,,,2000,,,,,3,,,GUATEMALA,OCOS
1902,5,5,,,,4,7,,1,14.82,-61.17,5,1,,,23,,,,,,,,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE
1902,5,7,,,,4,6,,1,13.33,-61.18,1,3,,,1680,,,,,1,,,SAINT VINCENT AND THE GRENADINES,SOUFRIERE VOLCANO
1902,5,8,,,,2,6,,0,14.82,-61.17,,1,,,28000,,,,,,,,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE
1902,5,20,,,,2,6,,0,14.82,-61.17,,4,,,,,,,,,,,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE
1902,6,6,,,,2,0,,0,14.602,-61.065,,1,,,,,,,,,,,MARTINIQUE (FRENCH TERRITORY),FORT-DE-FRANCE
1902,7,5,14,56,30,3,1,6.6,0,40.75,23.25,,1,,2,,,,,,,,,GREECE,AEGEAN SEA
1902,7,8,,,,2,0,,0,14.553,-61.009,,1,,,,,,,,,,,MARTINIQUE (FRENCH TERRITORY),MARTINIQUE
1902,8,16,8,11,36,1,1,,0,24.6,-107.9,,1,,,,,,,,,,,MEXICO,MEXICO
1902,8,21,11,17,,1,1,7.3,0,7.5,123.5,,1,,2,,,,,,3,,,PHILIPPINES,"ILLANA BAY, CELEBES SEA"
1902,8,30,,,,4,6,,0,14.82,-61.17,1,1,,,1500,,,,,,,,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE
1902,9,27,,,,1,2,,0,14,-91,,0,,,,,,,,1,,,GUATEMALA,OCOS
1903,2,10,2,28,,1,1,,0,14,143.3,0.15,1,,2,,,,,,1,,,USA TERRITORY,"GUAM, MARIANA ISLANDS"
1903,3,30,,,,2,1,6.5,0,-3,127.5,1,2,-0.5,0,,,,,,,,,INDONESIA,BANDA SEA
1903,5,13,,,,1,1,,0,38.1,13.4,,0,,2,,,,,,,,,ITALY,CALABRIAN ARC
1903,7,16,,,,1,1,,0,16.7,-99.2,,0,,,,,,,,,,,MEXICO,S. MEXICO
1903,8,,,,,2,6,,0,,,,1,,,,,,,,,,,USA,"COOK INLET, AK"
1903,9,7,,,,1,1,,0,,,,1,,0,,,,,,,,,TAIWAN,TAIWAN
1903,9,26,,,,2,1,,0,-20.2,-70.15,,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1903,10,6,6,30,,-1,9,,0,,,,1,,,,,,,,,,,USA,HAWAII
1903,10,8,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,HAWAII
1903,10,20,,,,3,0,,0,64.98,-66.2,,1,,,,,,,,,,,CANADA,"BLACKLEAD ISLAND, CUMBERLAND SOUND"
1903,11,17,,,,1,9,,0,,,,1,,,,,,,,,,,USA,HAWAII
1903,11,24,,,,4,9,,0,,,,1,,,,,,,,,,,USA,HAWAII
1903,11,29,,,,0,9,,0,,,15.7,3,3.9,3,,,,,,,,,USA,HAWAII
1903,12,7,14,25,,3,1,6.5,0,-28.5,-71,,1,,,,,,,,2,,,CHILE,NORTHERN CHILE
1904,1,20,14,52,6,1,1,7.9,0,7,-79,,1,,,,,,,,,,,COLOMBIA,OFF THE COAST PANAMA-COLOMBIA
1904,2,2,,,,2,0,,0,1.5,120.8,,1,,0.5,,,,,,,,,INDONESIA,CELEBES SEA
1904,3,30,,,,-1,9,,0,,,,5,,0.5,,,,,,,,,USA,WASHINGTON-OREGON
1904,6,25,14,45,36,4,1,8.3,0,52,159,,1,1,2,,,,,,,,,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA"
1904,6,25,21,0,36,3,1,8.1,0,52,159,,0,1,,,,,,,,,,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA"
1904,7,5,,,,1,1,,0,-3.6,128.7,,1,,1,,,,,,1,,,INDONESIA,BANDA SEA
1904,8,8,22,50,0,1,1,7.2,0,-40.4,176.4,3,0,,,,,,,,,,,NEW ZEALAND,CAPE TURNAGAIN
1904,8,25,10,0,,1,2,,0,-39.12,177.2,,0,,,,,,,,,,,NEW ZEALAND,NEW ZEALAND
1904,9,7,,,,1,1,,0,-7.7,109,,1,,0,,,,,,,,,INDONESIA,S. JAVA
1904,12,20,5,44,18,2,1,7.2,0,9.2,-82.8,,1,,,,,,,,,,,PANAMA,BOCAS DEL TORO
1904,12,30,,,,-1,0,,0,,,,0,,,,,,,,,,,COOK ISLANDS,COOK IS.
1905,1,16,,,,0,8,,0,61.866,6.85,40.5,4,,,61,,,,,2,,,NORWAY,LOEN
1905,1,20,2,32,30,2,1,6.3,0,39.66,22.83,,0,,,,,,,,,,,GREECE,AEGEAN SEA
1905,1,20,18,23,,2,1,6.8,0,9.85,-84.68,,1,,,,,,,,1,,,COSTA RICA,GULF OF NICOYA
1905,1,,,,,1,1,,0,19,-113,,1,,,,,,,,,,,MEXICO,REVILLAGIGEDO ISLANDS
1905,2,26,6,22,,2,2,,0,-40.5,175,,1,,,1,,,,,,,,NEW ZEALAND,N. NEW ZEALAND
1905,3,19,,,,2,1,,0,,,0.6,1,,,,,,,,,,,VANUATU,MALO PASS
1905,4,4,0,50,,0,1,7.8,0,33,76,,1,,,19000,,,,,4,,,INDIA,"KANGRA, INDIA"
1905,7,4,,,,4,8,,0,60,-139.58,33.53,4,5.1,2.5,,,,,,,,,USA,"DISENCHANTMENT BAY, AK"
1905,7,6,16,21,0,3,1,7,0,37.4,142.6,,1,-1,,57,,,,,,,,JAPAN,JAPAN:  OFF FUKUSHIMA
1905,8,4,,,,2,6,,0,-13.612,-172.525,,0,,0.5,,,,,,3,,,SAMOA,MATAVANU VOLCANO
1905,9,8,1,43,11,4,1,7.1,0,38.67,16.07,1.3,0,,4,557,,,2000,,4,6700,,ITALY,TYRRHENIAN CALABRIA
1905,10,4,22,29,,4,1,5.1,0,44.5,37.5,0.5,1,-1,2,,,,,,,,,RUSSIA,BLACK SEA
1905,10,21,11,1,37,1,1,7.5,0,42,42,,0,,,,,,,,,,,GEORGIA,CAUCASUS
1905,11,8,22,6,11.8,3,3,7.2,0,40.092,24.627,3,1,,,11,,,,,2,,,GREECE,NORTH AEGEAN SEA
1905,11,22,,,,2,1,,0,-17.7,168.3,,1,,,,,,,,,,,VANUATU,PORT VILA
1905,11,24,,,,2,1,,0,-17.7,168.3,,1,,,,,,,,,,,VANUATU,PORT VILA
1905,12,8,8,22,,1,1,6.5,0,11,123.5,,1,-0.5,0,,,,,,1,,,PHILIPPINES,W. LUZON ISLAND
1905,,,,,,2,1,,0,37.3,9.9,,1,,3,,,,,,,,,TUNISIA,BALEARIC SEA
1905,,,,,,1,0,,0,,,,1,,,,,,,,,,,TOGO,GOLD COAST
1906,1,31,15,35,51,4,1,8.8,0,1,-81.5,5,55,1,3,1000,,,,,3,,,ECUADOR,OFF COAST
1906,1,31,,,,4,1,,0,10.5,-66.916,,6,,,,,,,,,,,VENEZUELA,CARACAS
1906,2,7,,,,4,1,,0,1,-81,0.25,1,,0.5,,,,,,,,,ECUADOR,COLOMBIA-ECUADOR
1906,2,21,,,,3,1,,0,3.9,-77.033,,0,,,,,,,,,,,COLOMBIA,BUENAVENTURA
1906,4,4,,,,4,6,,0,40.821,14.426,0.4,0,,3,350,,,300,,,,,ITALY,TYRRHENIAN SEA
1906,4,18,13,12,0,4,3,7.9,0,37.7,-122.5,0.1,3,-3.3,-4,,,,,,,,,USA,N. CALIFORNIA
1906,5,7,,,,2,1,,0,-18.5,-70.3,,2,,,,,,,,,,,CHILE,NORTHERN CHILE
1906,5,25,,,,2,0,,0,13.25,-88.83,,1,,,,,,,,,,,EL SALVADOR,OFF COAST
1906,7,1,,,,1,0,,0,,,,1,,,,,,,,,,,"MARSHALL ISLANDS, REP. OF",MARSHALL ISLANDS
1906,8,7,,,,2,0,,0,33.9,-117,0.02,1,,,,,,,,,,,USA,S. CALIFORNIA
1906,8,17,0,40,,3,1,8.2,0,-33,-72,3.5,35,1.8,2,4000,,,,100,4,,,CHILE,CENTRAL CHILE
1906,9,14,16,4,18,4,1,8,0,-7,149,1.5,7,0.6,1.5,,,,,,3,,,PAPUA NEW GUINEA,SOLOMON SEA
1906,10,2,1,50,,3,1,7.2,0,-4,149,1.2,2,,1.5,,,,,,1,,,PAPUA NEW GUINEA,BISMARCK SEA
1906,11,6,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,WASHINGTON-OREGON
1906,11,20,21,0,,3,1,5,0,6.5,0.3,,1,,,,,,,,2,,,GHANA,GOLD COAST
1906,11,28,,,,2,6,,0,-13.612,-172.525,,1,,,,,,,,,,,SAMOA,MATAVANU VOLCANO
1906,12,26,6,53,28,2,1,7.9,0,-18,-71,,0,,,,,,,,,,,PERU,S. PERU
1906,,,,,,1,2,,0,10.6,-66.95,,1,,,,,,,,,,,VENEZUELA,MAIQUETIA
1907,1,4,5,19,13.2,4,1,8.2,0,2.681,95.53,15,88,1.5,2,2188,,,,,3,,,INDONESIA,NW. SUMATRA
1907,1,14,20,38,12,4,1,6.2,0,18.667,-76.237,2.5,10,1.3,,1000,,,,30,4,,,JAMAICA,JAMAICA
1907,3,29,20,46,30,1,1,7.3,0,3,122,4,1,2,2,,,,,,,,,INDONESIA,"KARAKELONG, TALAUD ISLANDS"
1907,4,14,6,8,6,3,1,8.1,0,17,-100,2,3,1,,8,,,,,2,,,MEXICO,S. MEXICO
1907,6,8,,,,2,6,,0,-13.612,-172.525,,1,,,,,,,,,,,SAMOA,MATAVANU VOLCANO
1907,6,19,,,,2,6,,0,-13.612,-172.525,,1,,,,,,,,,,,SAMOA,MATAVANU VOLCANO
1907,6,27,,,,2,6,,0,-13.612,-172.525,,1,,,,,,,,,,,SAMOA,MATAVANU VOLCANO
1907,7,9,,,,2,6,,0,-13.612,-172.525,,1,,,,,,,,,,,SAMOA,MATAVANU VOLCANO
1907,7,25,,,,2,6,,0,-13.612,-172.525,,1,,,,,,,,,,,SAMOA,MATAVANU VOLCANO
1907,7,,,,,2,6,,0,-21.38,-175.65,,1,,0.5,,,,,,,,,TONGA,TONGA ISLANDS
1907,9,24,12,58,0,3,3,5.5,0,59.5,-135.5,0.7,1,-0.5,0,,,,,,1,,,USA,"SKAGWAY, AK"
1907,10,6,,,,4,6,,0,-13.612,-172.525,3.6,2,,,,,,,,3,,,SAMOA,MATAVANU VOLCANO
1907,10,23,20,28,19,4,1,5.9,0,38.133,16.017,,2,,3,158,,,,,2,,,ITALY,IONIAN CALABRIA
1907,12,15,17,35,,2,1,7.4,0,-3.1,142.5,,1,,,,,,,,2,,,PAPUA NEW GUINEA,BISMARCK SEA
1908,2,6,,,,3,1,7.5,0,-2,100,1.4,1,0.5,1,,,,,,,,,INDONESIA,SW. SUMATRA
1908,2,14,11,25,0,1,3,6,0,61,-146.2,,1,,,,,,,,1,,,USA,"PRINCE WILLIAM SOUND, AK"
1908,3,23,12,20,,-1,1,6.6,0,-10,129,,1,,,,,,,,1,,,INDONESIA,TIMOR SEA
1908,4,6,,,,0,8,,0,45.77,-75.6,15,1,,,33,,,,,2,40,,CANADA,NOTRE DAME DE LA SALETTE
1908,5,31,,,,1,1,6.5,0,44,34,,0,,,,,,,,,,,UKRAINE,CRIMEA
1908,9,11,,,,2,0,,0,48.958,-62.133,,3,,,,,,,,,,,CANADA,GULF OF SAINT LAWRENCE
1908,9,21,6,31,,4,1,6.8,0,19,-155,1.2,2,-0.5,0,,,,,,,,,USA,HAWAII
1908,12,12,12,8,,1,2,,0,-14,-78,,0,,,,,,,,,,,PERU,S. PERU
1908,12,28,4,20,27,4,3,7,5,38.17,15.58,13,87,,5,80000,,,,116,4,,,ITALY,"MESSINA STRAIT, IONIAN SEA"
1909,3,7,,,,2,1,,0,-21,-159,3,3,,,,,,,,2,,,COOK ISLANDS,RAROTONGA
1909,3,12,23,19,,4,1,6.7,0,34.5,141.5,,1,-1,,,,,,,1,,,JAPAN,OFF BOSO PENINSULA
1909,3,13,14,29,,4,1,7.5,0,34.5,141.5,,1,-1,,,,,,,1,,,JAPAN,OFF BOSO PENINSULA
1909,6,3,18,40,48,2,1,7.6,0,-2,101,,4,0.5,1,,,,,,3,,,INDONESIA,SUMATRA
1909,6,8,5,46,30,0,1,7.6,0,-26.5,-70.5,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1909,7,8,,,,1,1,,0,-15.5,167.2,,1,,,,,,,,2,,,VANUATU,VANUATU ISLANDS
1909,7,30,10,51,54,2,1,7.4,0,16.8,-99.8,9,1,3.2,,,,,,,,,,MEXICO,S. MEXICO
1909,8,14,6,30,0,4,1,6.9,0,35.4,136.3,1.8,1,1,,41,,,,,3,976,,JAPAN,"ANEGAWA, JAPAN"
1909,9,20,,,,-1,9,,0,,,,1,,,300,,,,,,,,USA,LOUISIANA: GRAND ISLE
1909,10,6,2,41,,0,1,,0,41.8,-112.7,,1,,,,,,,,1,,,USA,UTAH
1909,12,9,23,28,,4,1,8,0,12.5,145,,1,,,,,,,,2,,,USA TERRITORY,"GUAM, MARIANA ISLANDS"
1910,2,25,,,,1,1,6,0,-4.25,152.25,,1,,0,,,,,,,,,PAPUA NEW GUINEA,MATUPI HARBOR
1910,3,20,,,,0,8,,0,,,,0,,,,,,,,,,,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND"
1910,11,5,,,,1,0,,0,64,-165,,2,,,,,,,,2,,,USA,"NOME, AK"
1910,11,10,12,19,54,3,1,7.2,0,-14,166.5,,1,,,,,,,,2,,,VANUATU,VANUATU ISLANDS
1910,11,21,12,45,,0,9,,0,,,0.3,1,,-1.5,,,,,,,,,USA,"SAN FRANCISCO, CA"
1910,12,18,2,42,,2,1,6.7,0,4,127,,1,-1.3,-1,,,,,,1,,,INDONESIA,SULAWESI
1910,12,30,,,,1,1,6.2,0,9,125.5,,1,,1,,,,,,1,,,PHILIPPINES,SULU SEA
1911,1,30,,,,4,6,,2,14.002,120.993,3,2,,,1335,,,199,,3,543,,PHILIPPINES,"TAAL, LUZON ISLAND"
1911,2,18,21,35,12,3,1,6.7,0,40.9,20.8,,0,,,,,,,,,,,ALBANIA,OCHRIDA LAKE
1911,5,8,,,,2,1,,0,-4.25,152.25,,1,,0,,,,,,,,,PAPUA NEW GUINEA,"BLANCHE BAY, BISMARCK SEA"
1911,5,11,,,,2,0,6.6,0,6.1,1.2,5,1,,,,,,,,1,,,TOGO,GOLD COAST
1911,6,15,14,26,,4,1,8,0,28,130,,2,1,1.5,12,,,,,3,422,,JAPAN,RYUKYU ISLANDS
1911,7,12,4,7,36,1,1,7.8,0,9,126,,4,,,,,,,,3,,,PHILIPPINES,PHILIPPINE TRENCH
1911,9,15,13,10,,2,1,7.3,0,-20,-72,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1911,9,22,5,1,24,1,3,6.9,0,60.5,-149,,1,,0.5,,,,,,1,,,USA,"PRINCE WILLIAM SOUND, AK"
1911,11,3,,,,3,8,,0,10.5,-61.2,,1,,,,,,,,,,,TRINIDAD AND TOBAGO,TRINIDAD
1912,1,24,16,22,51,2,1,6.8,0,38.12,20.67,,0,,,,,,,,,,,GREECE,IONIAN SEA
1912,4,13,,,,0,8,,0,42,-81,,2,,,,,,,,1,,,USA,"SOUTHERN SHORE, LAKE ERIE (OHIO)"
1912,6,8,4,42,,3,1,6.6,0,40.5,142,0.5,1,-1,0,,,,,,1,,,JAPAN,SANRIKU
1912,8,9,1,28,51.4,4,3,7.2,0,40.444,26.784,2.7,6,,,2800,,,7000,,4,24700,15400,TURKEY,MARMARA SEA
